lottery,pool_size,draw_size,k,delta_covered,pairwise_component_P,T3,T4,higher_order_residual_H,pairwise_contribution_share,mechanism_descriptor
BIG_LOTTO,49,6,3,11036,11100,-64,0,-64,2775/2791,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
BIG_LOTTO,49,6,5,36489,37000,-512,1,-511,37000/37513,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
BIG_LOTTO,49,6,10,112285,118400,-6208,93,-6115,118400/124701,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
BIG_LOTTO,49,6,15,124012,136900,-13248,360,-12888,34225/37627,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
BIG_LOTTO,49,6,20,118677,136900,-18816,593,-18223,136900/156309,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
DAILY_539,39,5,3,108,108,0,0,0,1/1,PAIRWISE_COLLISION_EXACTLY_SUFFICIENT
DAILY_539,39,5,5,360,360,0,0,0,1/1,PAIRWISE_COLLISION_EXACTLY_SUFFICIENT
DAILY_539,39,5,10,900,900,0,0,0,1/1,PAIRWISE_COLLISION_EXACTLY_SUFFICIENT
DAILY_539,39,5,15,1044,1044,0,0,0,1/1,PAIRWISE_COLLISION_EXACTLY_SUFFICIENT
DAILY_539,39,5,20,828,828,0,0,0,1/1,PAIRWISE_COLLISION_EXACTLY_SUFFICIENT
POWER_LOTTO_zone1,38,6,3,7736,7800,-64,0,-64,975/983,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
POWER_LOTTO_zone1,38,6,5,25489,26000,-512,1,-511,26000/26513,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
POWER_LOTTO_zone1,38,6,10,23969,26000,-2048,17,-2031,5200/5613,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
POWER_LOTTO_zone1,38,6,15,14895,18200,-3392,87,-3305,2600/3097,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
POWER_LOTTO_zone1,38,6,20,14519,18200,-3776,95,-3681,2600/3153,PAIRWISE_COLLISION_PRIMARY_WITH_HIGHER_ORDER_RESIDUAL
