lottery,pool_size,draw_size,k,arm,max_pairwise_overlap,pair_histogram,unique_number_coverage,reuse_dispersion,duplicate_count,S2,S3,S4,max_multiplicity_observed,covered,q_exact
BIG_LOTTO,49,6,3,ARM_B,0,r0:3,18,0.482082,0,1200,0,0,2,780672,32528/582659
BIG_LOTTO,49,6,3,SIDON,1,r1:3,15,0.595695,0,12300,64,0,3,769636,27487/499422
BIG_LOTTO,49,6,5,ARM_B,0,r0:10,30,0.487238,0,4000,0,0,2,1299120,54130/582659
BIG_LOTTO,49,6,5,SIDON,1,r1:10,22,0.80347,0,41000,512,1,4,1262631,18299/202664
BIG_LOTTO,49,6,10,ARM_B,1,r0:32;r1:13,48,0.505694,0,66100,320,0,3,2540460,211705/1165318
BIG_LOTTO,49,6,10,SIDON,1,r1:45,30,1.24974,0,184500,6528,93,4,2428175,2428175/13983816
BIG_LOTTO,49,6,15,ARM_B,1,r0:43;r1:62,48,0.996871,0,271400,7040,30,4,3644970,86785/332948
BIG_LOTTO,49,6,15,SIDON,1,r0:6;r1:99,35,1.58239,0,408300,20288,390,4,3520958,5351/21252
BIG_LOTTO,49,6,20,ARM_B,1,r0:64;r1:126,48,1.26267,0,542200,19584,201,4,4689663,142111/423752
BIG_LOTTO,49,6,20,SIDON,1,r0:27;r1:163,40,1.76197,0,679100,38400,794,4,4570986,108833/332948
DAILY_539,39,5,3,ARM_B,0,r0:3,15,0.486504,0,0,0,0,1,17343,1927/63973
DAILY_539,39,5,3,SIDON,1,r1:3,12,0.624926,0,108,0,0,2,17235,1915/63973
DAILY_539,39,5,5,ARM_B,0,r0:10,25,0.4797,0,0,0,0,1,28905,9635/191919
DAILY_539,39,5,5,SIDON,1,r1:10,17,0.861935,0,360,0,0,2,28545,9515/191919
DAILY_539,39,5,10,ARM_B,1,r0:27;r1:18,35,0.749315,0,648,0,0,2,57162,2722/27417
DAILY_539,39,5,10,SIDON,1,r0:2;r1:43,22,1.357764,0,1548,0,0,2,56262,18754/191919
DAILY_539,39,5,15,ARM_B,1,r0:44;r1:61,39,1.16321,0,2196,0,0,2,84519,9391/63973
DAILY_539,39,5,15,SIDON,1,r0:15;r1:90,27,1.6853,0,3240,0,0,2,83475,1325/9139
DAILY_539,39,5,20,ARM_B,1,r0:73;r1:117,39,1.410489,0,4212,0,0,2,111408,37136/191919
DAILY_539,39,5,20,SIDON,1,r0:50;r1:140,32,1.780159,0,5040,0,0,2,110580,1940/10101
POWER_LOTTO_zone1,38,6,3,ARM_B,0,r0:3,18,0.499307,0,1200,0,0,2,319299,106433/920227
POWER_LOTTO_zone1,38,6,3,SIDON,1,r1:3,15,0.638124,0,9000,64,0,3,311563,44509/394383
POWER_LOTTO_zone1,38,6,5,ARM_B,0,r0:10,30,0.407682,0,4000,0,0,2,530165,530165/2760681
POWER_LOTTO_zone1,38,6,5,SIDON,1,r1:10,22,0.832178,0,30000,512,1,4,504676,504676/2760681
POWER_LOTTO_zone1,38,6,10,ARM_B,1,r0:15;r1:30,36,0.815365,0,96000,1920,0,3,974250,324750/920227
POWER_LOTTO_zone1,38,6,10,SIDON,1,r0:5;r1:40,35,1.091392,0,122000,3968,17,4,950281,950281/2760681
POWER_LOTTO_zone1,38,6,15,ARM_B,1,r0:20;r1:85,37,1.110264,0,263000,12288,118,4,1351665,64365/131461
POWER_LOTTO_zone1,38,6,15,SIDON,1,r0:13;r1:92,38,1.265349,0,281200,15680,205,4,1336770,445590/920227
POWER_LOTTO_zone1,38,6,20,ARM_B,1,r0:33;r1:157,38,1.203642,0,484200,34240,632,4,1686068,1686068/2760681
POWER_LOTTO_zone1,38,6,20,SIDON,1,r0:26;r1:164,38,1.348026,0,502400,38016,727,4,1671549,1369/2261
