target_draw,draw_date,history_cutoff,period,era,consensus_ticket,actual_main_numbers,special_number,hits,m1_plus,m2_plus,m3_plus,m4_plus,m5_plus,m6_plus,n_supported_numbers,top1_score,top1_support,top6_mean_support,rank6_score,rank7_score,rank6_minus_rank7_margin,rank6_support,rank7_support,rank6_rank7_tied,top6_family_breadth_mean,top6_distinct_families,score_entropy_norm,support_concentration_hhi,top6_score_mass_fraction,minority_support_mass,strategy_disagreement,family_disagreement,top6_slots_in_43_49,top6_slots_in_1_12,winner_ranks,winner_supports,winner_min_rank,n_winners_rank_7_8,n_winners_rank_7_12,n_winners_rank_21plus,n_winners_zero_support,top6_mean_gap,winners_mean_gap,top1_missed,special_rank,best_single_strategy_hits,n_strategies_m2plus
103000001,2014-01-03,102000313,SEARCH_1117,PRE_2023,2;4;8;9;15;32,11;18;20;21;35;37,8,0,0,0,0,0,0,0,36,0.348485,10,8.5,0.212121,0.204545,0.007576,5,11,0,4.5,8,0.826346,0.051676,0.465368,0.214286,0.799573,0.783105,0,4,13;14;16;41;42;43,3;0;0;0;3;6,13,0,0,3,3,41.667,76.333,1,4,2,4
103000002,2014-01-07,103000001,SEARCH_1117,PRE_2023,2;8;9;11;15;17,1;7;21;25;35;36,39,0,0,0,0,0,0,0,37,0.378788,10,8.6667,0.166667,0.159091,0.007576,8,7,0,5.0,8,0.837322,0.05043,0.445887,0.218615,0.826045,0.806133,0,4,10;14;20;35;40;45,2;2;0;3;1;0,10,0,1,3,2,5.0,71.833,1,47,2,1
103000003,2014-01-10,103000002,SEARCH_1117,PRE_2023,2;7;8;9;17;32,7;17;19;30;32;37,3,3,1,1,1,0,0,0,42,0.333333,10,7.6667,0.181818,0.151515,0.030303,7,4,0,4.5,7,0.865592,0.045098,0.426407,0.309524,0.858991,0.839176,0,4,3;5;6;7;28;31,6;9;1;4;7;1,3,1,1,2,0,43.167,78.167,1,43,2,10
103000004,2014-01-14,103000003,SEARCH_1117,PRE_2023,2;7;9;11;17;26,2;11;21;41;45;49,26,2,1,1,0,0,0,0,40,0.454545,13,8.1667,0.136364,0.113636,0.022727,3,5,0,5.0,8,0.844778,0.052014,0.45671,0.255411,0.827496,0.802929,0,4,2;5;21;34;38;40,8;6;4;1;1;2,2,0,0,4,0,39.0,108.667,1,6,3,5
103000005,2014-01-17,103000004,SEARCH_1117,PRE_2023,2;7;9;11;17;26,13;15;20;26;29;36,37,1,1,0,0,0,0,0,38,0.477273,11,8.1667,0.189394,0.159091,0.030303,6,5,0,5.0,8,0.833049,0.053363,0.465368,0.264069,0.836735,0.806469,0,4,4;14;18;29;31;35,1;2;2;5;2;1,4,0,0,3,0,38.5,74.667,1,23,2,2
103000006,2014-01-21,103000005,SEARCH_1117,PRE_2023,2;7;9;13;15;17,12;15;22;38;43;44,9,1,1,0,0,0,0,0,39,0.348485,8,8.3333,0.151515,0.151515,0.0,6,4,1,4.6667,7,0.846556,0.048472,0.441558,0.190476,0.840672,0.830008,0,3,4;8;14;20;31;41,0;8;1;5;2;3,4,1,1,2,1,3.5,113.833,1,3,2,4
103000007,2014-01-24,103000006,SEARCH_1117,PRE_2023,2;7;9;10;15;17,1;4;20;29;41;45,36,0,0,0,0,0,0,0,41,0.348485,12,8.6667,0.159091,0.159091,0.0,4,5,1,5.3333,8,0.840764,0.051658,0.47619,0.272727,0.829379,0.808159,0,4,17;25;30;36;42;48,0;1;6;0;2;1,17,0,0,5,2,5.5,3.667,1,40,1,0
103000008,2014-01-28,103000007,SEARCH_1117,PRE_2023,2;7;9;15;17;34,1;2;5;7;26;30,24,2,1,1,0,0,0,0,41,0.318182,11,8.0,0.166667,0.136364,0.030303,5,3,0,4.8333,7,0.861899,0.044949,0.417749,0.257576,0.840097,0.827651,0,3,4;5;7;20;23;46,3;5;1;7;2;0,4,1,1,2,1,41.333,4.333,1,34,2,6
103000009,2014-01-30,103000008,SEARCH_1117,PRE_2023,1;2;7;9;15;33,9;22;44;45;48;49,8,1,1,0,0,0,0,0,40,0.30303,7,7.1667,0.174242,0.128788,0.045455,5,8,0,4.3333,8,0.865102,0.043993,0.417749,0.281385,0.844735,0.823445,0,4,4;34;36;37;40;42,7;0;1;1;3;1,4,0,0,5,1,39.333,41.0,1,15,3,1
103000010,2014-01-31,103000009,SEARCH_1117,PRE_2023,2;4;7;9;17;34,17;23;27;38;48;49,19,1,1,0,0,0,0,0,39,0.325758,9,6.8333,0.159091,0.151515,0.007576,4,4,0,4.5,7,0.865473,0.043346,0.398268,0.261905,0.854965,0.828206,0,4,4;33;34;38;44;49,7;1;0;1;0;2,4,0,0,5,2,39.333,39.833,1,42,2,1
